"rxn"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"
"rn:R09034"	"YOR175C"	" Acyl-CoA + 1-Acylglycerophosphoinositol <=> CoA + 1-Phosphatidyl-D-myo-inositol"	"acyl-CoA:1-acyl-sn-glycero-3-phosphoinositol O-acyltransferase"	"K13519"	"path:map00561;path:map00564;path:map00565;path:map01100;path:map01110"	"sce00561  Glycerolipid metabolism;sce00564  Glycerophospholipid metabolism;sce00565  Ether lipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R09035"	"YOR175C"	" Acyl-CoA + 1-Acyl-sn-glycero-3-phosphoserine <=> CoA + Phosphatidylserine"	"acyl-CoA:1-acyl-sn-glycero-3-phosphoserine O-acyltransferase"	"K13519"	"path:map00561;path:map00564;path:map00565;path:map01100;path:map01110"	"sce00561  Glycerolipid metabolism;sce00564  Glycerophospholipid metabolism;sce00565  Ether lipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R09036"	"YOR175C"	" Acyl-CoA + 1-Acyl-sn-glycero-3-phosphoglycerol <=> CoA + Phosphatidylglycerol"	"acyl-CoA:1-acyl-sn-glycero-3-phosphoglycerol O-acyltransferase"	"K13519"	"path:map00561;path:map00564;path:map00565;path:map01100;path:map01110"	"sce00561  Glycerolipid metabolism;sce00564  Glycerophospholipid metabolism;sce00565  Ether lipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R00310"	"YOR176W"	" Protoporphyrin + Fe2+ <=> Heme + 2 H+"	"protoheme ferro-lyase (protoporphyrin-forming)"	"K01772"	"path:map00860;path:map01100;path:map01110"	"sce00860  Porphyrin and chlorophyll metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R11329"	"YOR176W"	" Fe-coproporphyrin III + 2 H+ <=> Coproporphyrin III + Fe2+"	"Fe-coproporphyrin-III ferro-lyase (coproporphyrin-III-forming)"	"K01772"	"path:map00860;path:map01100;path:map01110"	"sce00860  Porphyrin and chlorophyll metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R04173"	"YOR184W"	" O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate"	"3-Phosphoserine:2-oxoglutarate aminotransferase"	"K00831"	"path:map00260;path:map00680;path:map00750;path:map01100;path:map01120;path:map01130;path:map01200;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce00680  Methane metabolism;sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids"
"rn:R05085"	"YOR184W"	" O-Phospho-4-hydroxy-L-threonine + 2-Oxoglutarate <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + L-Glutamate"	"O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase"	"K00831"	"path:map00260;path:map00680;path:map00750;path:map01100;path:map01120;path:map01130;path:map01200;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce00680  Methane metabolism;sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids"
"rn:R07767"	"YOR196C"	" Protein N6-(octanoyl)lysine + 2 Sulfur donor + 2 S-Adenosyl-L-methionine <=> Protein N6-(lipoyl)lysine + 2 L-Methionine + 2 5'-Deoxyadenosine"	"protein N6-(octanoyl)lysine:sulfur sulfurtransferase"	"K03644"	"path:map00785;path:map01100"	"sce00785  Lipoic acid metabolism;sce01100  Metabolic pathways"
"rn:R07768"	"YOR196C"	" Octanoyl-[acp] + 2 Sulfur donor + 2 S-Adenosyl-L-methionine <=> Lipoyl-[acp] + 2 L-Methionine + 2 5'-Deoxyadenosine"	"octanoyl-[acp]:sulfur sulfurtransferase"	"K03644"	"path:map00785;path:map01100"	"sce00785  Lipoic acid metabolism;sce01100  Metabolic pathways"
"rn:R03457"	"YOR202W"	" D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + H2O"	"D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase"	"K01693"	"path:map00340;path:map01100;path:map01110;path:map01230"	"sce00340  Histidine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01230  Biosynthesis of amino acids"
"rn:R01724"	"YOR209C"	" Nicotinate D-ribonucleotide + Diphosphate + ADP + Orthophosphate <=> Nicotinate + 5-Phospho-alpha-D-ribose 1-diphosphate + ATP + H2O + H+"	"5-phospho-alpha-D-ribose 1-diphosphate:nicotinate ligase (ADP, diphosphate-forming)"	"K00763"	"path:map00760;path:map01100"	"sce00760  Nicotinate and nicotinamide metabolism;sce01100  Metabolic pathways"
"rn:R00936"	"YOR236W"	" Tetrahydrofolate + NAD+ <=> Dihydrofolate + NADH + H+"	"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"	"K00287"	"path:map00670;path:map00790;path:map01100;path:map01523"	"sce00670  One carbon pool by folate;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R00937"	"YOR236W"	" Tetrahydrofolate + 2 NAD+ <=> Folate + 2 NADH + 2 H+"	"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"	"K00287"	"path:map00670;path:map00790;path:map01100;path:map01523"	"sce00670  One carbon pool by folate;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R00939"	"YOR236W"	" Tetrahydrofolate + NADP+ <=> Dihydrofolate + NADPH + H+"	"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"	"K00287"	"path:map00670;path:map00790;path:map01100;path:map01523"	"sce00670  One carbon pool by folate;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R00940"	"YOR236W"	" Tetrahydrofolate + 2 NADP+ <=> Folate + 2 NADPH + 2 H+"	"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"	"K00287"	"path:map00670;path:map00790;path:map01100;path:map01523"	"sce00670  One carbon pool by folate;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R02235"	"YOR236W"	" Dihydrofolate + NAD+ <=> Folate + NADH + H+"	"dihydrofolate:NAD+ oxidoreductase"	"K00287"	"path:map00670;path:map00790;path:map01100;path:map01523"	"sce00670  One carbon pool by folate;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R02236"	"YOR236W"	" Dihydrofolate + NADP+ <=> Folate + NADPH + H+"	"dihydrofolate:NADP+ oxidoreductase"	"K00287"	"path:map00670;path:map00790;path:map01100;path:map01523"	"sce00670  One carbon pool by folate;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R11765"	"YOR236W"	" Tetrahydrobiopterin + NADP+ <=> 7,8-Dihydrobiopterin + NADPH + H+"	"tetrahydrobiopterin:NADP+ oxidoreductase (7,8-dihydrobiopterin-forming)"	"K00287"	"path:map00670;path:map00790;path:map01100;path:map01523"	"sce00670  One carbon pool by folate;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R00942"	"YOR241W"	" ATP + Tetrahydrofolate + L-Glutamate <=> ADP + Orthophosphate + THF-L-glutamate"	"Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)"	"K01930"	"path:map00790;path:map01100;path:map01523"	"sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R04241"	"YOR241W"	" ATP + THF-polyglutamate(n) + L-Glutamate <=> ADP + Orthophosphate + THF-polyglutamate(n+1)"	"tetrahydropteroyl-gamma-polyglutamate:L-glutamate gamma-ligase (ADP-forming)"	"K01930"	"path:map00790;path:map01100;path:map01523"	"sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01523  Antifolate resistance"
"rn:R03755"	"YOR245C"	" Acyl-CoA + 1-Acylglycerol <=> CoA + 1,2-Diacyl-sn-glycerol"	"acyl-CoA:2-acylglycerol O-acyltransferase"	"K14457"	"path:map00561;path:map04975"	"sce00561  Glycerolipid metabolism;sce04975  Fat digestion and absorption"
"rn:R03756"	"YOR245C"	" 2,3-Dehydroacyl-CoA + 1-Acylglycerol <=> CoA + 1,2-Diacyl-sn-glycerol"	"2,3-dehydroacyl-CoA:2-acylglycerol O-acyltransferase"	"K14457"	"path:map00561;path:map04975"	"sce00561  Glycerolipid metabolism;sce04975  Fat digestion and absorption"
"rn:R01931"	"YOR251C"	" Thiosulfate + Cyanide ion <=> Sulfite + Thiocyanate"	"thiosulfate:cyanide sulfurtranserase"	"K01011"	"path:map00270;path:map00920;path:map01100;path:map01120;path:map04122"	"sce00270  Cysteine and methionine metabolism;sce00920  Sulfur metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments;sce04122  Sulfur relay system"
"rn:R03105"	"YOR251C"	" Mercaptopyruvate + Sulfite <=> Thiosulfate + Pyruvate"	"3-Mercaptopyruvate:cyanide sulfurtransferase"	"K01011"	"path:map00270;path:map00920;path:map01100;path:map01120;path:map04122"	"sce00270  Cysteine and methionine metabolism;sce00920  Sulfur metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments;sce04122  Sulfur relay system"
"rn:R03106"	"YOR251C"	" Hydrogen cyanide + Mercaptopyruvate <=> Thiocyanate + Pyruvate"	"3-mercaptopyruvate:cyanide sulfurtransferase"	"K01011"	"path:map00270;path:map00920;path:map01100;path:map01120;path:map04122"	"sce00270  Cysteine and methionine metabolism;sce00920  Sulfur metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments;sce04122  Sulfur relay system"
"rn:R04452"	"YOR269W"	" 2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine + H2O <=> 1-Organyl-2-lyso-sn-glycero-3-phosphocholine + Acetate"	"1-Alkyl-2-acetyl-sn-glycero-3-phosphocholine acetohydrolase"	"K16794"	"path:map00565;path:map01100"	"sce00565  Ether lipid metabolism;sce01100  Metabolic pathways"
"rn:R01122"	"YOR274W"	" Dimethylallyl diphosphate + tRNA <=> Diphosphate + tRNA containing 6-isopentenyladenosine"	"delta2-isopentenyl-diphosphate:tRNA isopentenyltransferase"	"K00791"	"path:map00908;path:map01100;path:map01110"	"sce00908  Zeatin biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R03165"	"YOR278W"	" Hydroxymethylbilane <=> Uroporphyrinogen III + H2O"	"Hydroxymethylbilane hydro-lyase(cyclizing)"	"K01719"	"path:map00860;path:map01100;path:map01110;path:map01120"	"sce00860  Porphyrin and chlorophyll metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments"
"rn:R09944"	"YOR311C"	" CTP + 1,2-Diacyl-sn-glycerol <=> CDP + Phosphatidate"	"CTP:1,2-diacyl-sn-glycerol 3-phosphotransferase"	"K16368"	"path:map00564;path:map01100;path:map01110"	"sce00564  Glycerophospholipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R03313"	"YOR323C"	" L-Glutamate 5-semialdehyde + Orthophosphate + NADP+ <=> L-Glutamyl 5-phosphate + NADPH + H+"	"L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)"	"K00147"	"path:map00330;path:map00332;path:map01100;path:map01110;path:map01130;path:map01230"	"sce00330  Arginine and proline metabolism;sce00332  Carbapenem biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R03038"	"YOR335C"	" ATP + L-Alanine + tRNA(Ala) <=> AMP + Diphosphate + L-Alanyl-tRNA"	"L-Alanine:tRNA(Ala) ligase (AMP-forming)"	"K01872"	"path:map00970"	"sce00970  Aminoacyl-tRNA biosynthesis"
"rn:R00519"	"YOR388C"	" Formate + NAD+ <=> H+ + CO2 + NADH"	"formate:NAD+ oxidoreductase"	"K00122"	"path:map00630;path:map00680;path:map01100;path:map01120;path:map01200"	"sce00630  Glyoxylate and dicarboxylate metabolism;sce00680  Methane metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments;sce01200  Carbon metabolism"
"rn:R00238"	"YPL028W"	" 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA"	"Acetyl-CoA:acetyl-CoA C-acetyltransferase"	"K00626"	"path:map00071;path:map00072;path:map00280;path:map00310;path:map00362;path:map00380;path:map00620;path:map00630;path:map00640;path:map00650;path:map00720;path:map00900;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01212;path:map02020"	"sce00071  Fatty acid degradation;sce00072  Synthesis and degradation of ketone bodies;sce00280  Valine, leucine and isoleucine degradation;sce00310  Lysine degradation;sce00362  Benzoate degradation;sce00380  Tryptophan metabolism;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce00650  Butanoate metabolism;sce00720  Carbon fixation pathways in prokaryotes;sce00900  Terpenoid backbone biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01212  Fatty acid metabolism;sce02020  Two-component system"
"rn:R02061"	"YPL069C"	" trans,trans-Farnesyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + Geranylgeranyl diphosphate"	"trans,trans-Farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase"	"K00804"	"path:map00900;path:map01100;path:map01110;path:map01130"	"sce00900  Terpenoid backbone biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R06518"	"YPL087W"	" Dihydroceramide + H2O <=> Fatty acid + Sphinganine"	"N-acylsphingosine amidohydrolase"	"K04711"	"path:map00600"	"sce00600  Sphingolipid metabolism"
"rn:R00094"	"YPL091W"	" 2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+"	"glutathione:NAD+ oxidoreductase"	"K00383"	"path:map00480;path:map04918"	"sce00480  Glutathione metabolism;sce04918  Thyroid hormone synthesis"
"rn:R00115"	"YPL091W"	" 2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+"	"glutathione:NADP+ oxidoreductase"	"K00383"	"path:map00480;path:map04918"	"sce00480  Glutathione metabolism;sce04918  Thyroid hormone synthesis"
"rn:R05577"	"YPL104W;YLL018C"	" tRNA(Asp) + L-Aspartate + ATP <=> L-Aspartyl-tRNA(Asp) + Diphosphate + AMP"	"L-Aspartate:tRNA(Asp) ligase (AMP-forming)"	"K01876"	"path:map00970"	"sce00970  Aminoacyl-tRNA biosynthesis"
"rn:R01030"	"YPL110C"	" sn-Glycero-3-phosphocholine + H2O <=> Choline + sn-Glycerol 3-phosphate"	"sn-Glycero-3-phosphocholine glycerophosphohydrolase"	"K18696"	"path:map00564"	"sce00564  Glycerophospholipid metabolism"
"rn:R01470"	"YPL110C"	" sn-Glycero-3-phosphoethanolamine + H2O <=> Ethanolamine + sn-Glycerol 3-phosphate"	"sn-Glycero-3-phosphoethanolamine glycerophosphohydrolase"	"K18696"	"path:map00564"	"sce00564  Glycerophospholipid metabolism"
"rn:R00551"	"YPL111W"	" L-Arginine + H2O <=> L-Ornithine + Urea"	"L-Arginine amidinohydrolase"	"K01476"	"path:map00220;path:map00330;path:map01100;path:map01110;path:map01130;path:map01230;path:map05146"	"sce00220  Arginine biosynthesis;sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids;sce05146  Amoebiasis"
"rn:R01123"	"YPL117C"	" Isopentenyl diphosphate <=> Dimethylallyl diphosphate"	"Isopentenyl-diphosphate delta3-delta2-isomerase"	"K01823"	"path:map00900;path:map01100;path:map01110;path:map01130"	"sce00900  Terpenoid backbone biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R07411"	"YPL172C"	" Heme + H2O + trans,trans-Farnesyl diphosphate <=> Heme O + Diphosphate"	"protoheme IX farnesyltransferase"	"K02257"	"path:map00190;path:map00860;path:map01100;path:map01110;path:map04714"	"sce00190  Oxidative phosphorylation;sce00860  Porphyrin and chlorophyll metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce04714  NA"
"rn:R02027"	"YPL206C"	" Phosphatidylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + sn-Glycerol 3-phosphate"	"Phosphatidylglycerol cholinephosphohydrolase"	"K18694"	"path:map00564"	"sce00564  Glycerophospholipid metabolism"
"rn:R03223"	"YPL214C"	" 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 4-Methyl-5-(2-phosphooxyethyl)thiazole <=> Diphosphate + Thiamin monophosphate"	"2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase"	"K14154"	"path:map00730;path:map01100"	"sce00730  Thiamine metabolism;sce01100  Metabolic pathways"
"rn:R04448"	"YPL214C"	" ATP + 5-(2-Hydroxyethyl)-4-methylthiazole <=> ADP + 4-Methyl-5-(2-phosphooxyethyl)thiazole"	"ATP:4-methyl-5-(2-hydroxyethyl)-thiazole 2-phosphotransferase"	"K14154"	"path:map00730;path:map01100"	"sce00730  Thiamine metabolism;sce01100  Metabolic pathways"
"rn:R10712"	"YPL214C"	" 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate <=> Thiamin monophosphate + Diphosphate + CO2"	"2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate 2-methyl-4-aminopyrimidine-5-methenyltransferase"	"K14154"	"path:map00730;path:map01100"	"sce00730  Thiamine metabolism;sce01100  Metabolic pathways"
"rn:R01005"	"YPL227C"	" UDP-glucose + Dolichyl phosphate <=> UDP + Dolichyl beta-D-glucosyl phosphate"	"UDPglucose:dolichyl-phosphate beta-D-glucosyltransferase"	"K00729"	"path:map00510;path:map01100"	"sce00510  N-Glycan biosynthesis;sce01100  Metabolic pathways"
"rn:R01082"	"YPL262W"	" (S)-Malate <=> Fumarate + H2O"	"(S)-malate hydro-lyase (fumarate-forming)"	"K01679"	"path:map00020;path:map00620;path:map00720;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map04934;path:map05200;path:map05211"	"sce00020  Citrate cycle (TCA cycle);sce00620  Pyruvate metabolism;sce00720  Carbon fixation pathways in prokaryotes;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce04934  NA;sce05200  Pathways in cancer;sce05211  Renal cell carcinoma"
"rn:R10716"	"YPL266W"	" 2 S-Adenosyl-L-methionine + Adenine in rRNA <=> 2 S-Adenosyl-L-homocysteine + N6-Dimethyladenine in rRNA"	"S-adenosyl-L-methionine:rRNA (adenine-N6-)-dimethyltransferase"	"K14191"	NA	"NA  NA"
"rn:R03332"	"YPL268W"	" 1-Phosphatidyl-D-myo-inositol + H2O <=> Inositol 1-phosphate + 1,2-Diacyl-sn-glycerol"	"1-Phosphatidyl-D-myo-inositol inositolphosphohydrolase"	"K05857"	"path:map00562;path:map01100;path:map04020;path:map04070;path:map04919;path:map04933"	"sce00562  Inositol phosphate metabolism;sce01100  Metabolic pathways;sce04020  Calcium signaling pathway;sce04070  Phosphatidylinositol signaling system;sce04919  Thyroid hormone signaling pathway;sce04933  AGE-RAGE signaling pathway in diabetic complications"
"rn:R03435"	"YPL268W"	" 1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate + H2O <=> D-myo-Inositol 1,4,5-trisphosphate + 1,2-Diacyl-sn-glycerol"	"1-Phosphatidyl-1D-myo-inositol-4,5-bisphosphate inositoltrisphosphohydrolase"	"K05857"	"path:map00562;path:map01100;path:map04020;path:map04070;path:map04919;path:map04933"	"sce00562  Inositol phosphate metabolism;sce01100  Metabolic pathways;sce04020  Calcium signaling pathway;sce04070  Phosphatidylinositol signaling system;sce04919  Thyroid hormone signaling pathway;sce04933  AGE-RAGE signaling pathway in diabetic complications"
"rn:R10952"	"YPL268W"	" 1-Phosphatidyl-1D-myo-inositol 4-phosphate + H2O <=> 1D-myo-Inositol 1,4-bisphosphate + 1,2-Diacyl-sn-glycerol"	"1-phosphatidyl-1D-myo-inositol-4-phosphate inositolbisphosphohydrolase"	"K05857"	"path:map00562;path:map01100;path:map04020;path:map04070;path:map04919;path:map04933"	"sce00562  Inositol phosphate metabolism;sce01100  Metabolic pathways;sce04020  Calcium signaling pathway;sce04070  Phosphatidylinositol signaling system;sce04919  Thyroid hormone signaling pathway;sce04933  AGE-RAGE signaling pathway in diabetic complications"
"rn:R00465"	"YPL275W"	" Glycolate + NADP+ <=> Glyoxylate + NADPH + H+"	"glycolate:NADP+ oxidoreductase"	"K12972"	"path:map00260;path:map00620;path:map00630;path:map01100;path:map01110;path:map01120"	"sce00260  Glycine, serine and threonine metabolism;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments"
"rn:R01392"	"YPL275W"	" D-Glycerate + NADP+ <=> Hydroxypyruvate + NADPH + H+"	"D-Glycerate:NADP+ 2-oxidoreductase"	"K12972"	"path:map00260;path:map00620;path:map00630;path:map01100;path:map01110;path:map01120"	"sce00260  Glycine, serine and threonine metabolism;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments"
"rn:R02527"	"YPL275W"	" (R)-Lactaldehyde + NAD+ <=> Methylglyoxal + NADH + H+"	"(R)-Lactaldehyde:NAD+ oxidoreductase"	"K12972"	"path:map00260;path:map00620;path:map00630;path:map01100;path:map01110;path:map01120"	"sce00260  Glycine, serine and threonine metabolism;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments"
"rn:R04424"	"YPR002W"	" 2-Methylcitrate <=> (Z)-But-2-ene-1,2,3-tricarboxylate + H2O"	"(2S,3S)-2-hydroxybutane-1,2,3-tricarboxylate hydro-lyase [(Z)-but-2-ene-1,2,3-tricarboxylate-forming]"	"K01720"	"path:map00640"	"sce00640  Propanoate metabolism"
"rn:R03655"	"YPR033C"	" ATP + L-Histidine + tRNA(His) <=> AMP + Diphosphate + L-Histidyl-tRNA(His)"	"L-Histidine:tRNA(His) ligase (AMP-forming)"	"K01892"	"path:map00970"	"sce00970  Aminoacyl-tRNA biosynthesis"
"rn:R00253"	"YPR035W"	" ATP + L-Glutamate + Ammonia <=> ADP + Orthophosphate + L-Glutamine"	"L-Glutamate:ammonia ligase (ADP-forming)"	"K01915"	"path:map00220;path:map00250;path:map00630;path:map00910;path:map01100;path:map01120;path:map01230;path:map02020;path:map04217;path:map04724;path:map04727"	"sce00220  Arginine biosynthesis;sce00250  Alanine, aspartate and glutamate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00910  Nitrogen metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments;sce01230  Biosynthesis of amino acids;sce02020  Two-component system;sce04217  Necroptosis;sce04724  Glutamatergic synapse;sce04727  GABAergic synapse"
"rn:R01715"	"YPR060C"	" Chorismate <=> Prephenate"	"Chorismate pyruvatemutase"	"K01850"	"path:map00400;path:map01100;path:map01110;path:map01130;path:map01230"	"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R02922"	"YPR062W"	" Creatinine + H2O <=> N-Methylhydantoin + Ammonia"	"Creatinine iminohydrolase"	"K03365"	"path:map00330;path:map01100"	"sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"
"rn:R01920"	"YPR069C"	" S-Adenosylmethioninamine + Putrescine <=> 5'-Methylthioadenosine + Spermidine"	"S-adenosylmethioninamine:putrescine 3-aminopropyltransferase"	"K00797"	"path:map00270;path:map00330;path:map00410;path:map00480;path:map01100"	"sce00270  Cysteine and methionine metabolism;sce00330  Arginine and proline metabolism;sce00410  beta-Alanine metabolism;sce00480  Glutathione metabolism;sce01100  Metabolic pathways"
"rn:R08359"	"YPR069C"	" S-Adenosylmethioninamine + Cadaverine <=> 5'-Methylthioadenosine + Aminopropylcadaverine"	"S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase"	"K00797"	"path:map00270;path:map00330;path:map00410;path:map00480;path:map01100"	"sce00270  Cysteine and methionine metabolism;sce00330  Arginine and proline metabolism;sce00410  beta-Alanine metabolism;sce00480  Glutathione metabolism;sce01100  Metabolic pathways"
"rn:R01802"	"YPR113W"	" CDP-diacylglycerol + myo-Inositol <=> CMP + 1-Phosphatidyl-D-myo-inositol"	"CDP-diacylglycerol:myo-inositol 3-phosphatidyltransferase"	"K00999"	"path:map00562;path:map00564;path:map01100;path:map04070"	"sce00562  Inositol phosphate metabolism;sce00564  Glycerophospholipid metabolism;sce01100  Metabolic pathways;sce04070  Phosphatidylinositol signaling system"
"rn:R04420"	"YPR118W"	" S-Methyl-5-thio-D-ribose 1-phosphate <=> S-Methyl-5-thio-D-ribulose 1-phosphate"	"5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase"	"K08963"	"path:map00270;path:map01100"	"sce00270  Cysteine and methionine metabolism;sce01100  Metabolic pathways"
"rn:R01708"	"YPR127W"	" Pyridoxine + NADP+ <=> Pyridoxal + NADPH + H+"	"Pyridoxine:NADP+ 4-oxidoreductase"	"K05275"	"path:map00750;path:map01100;path:map01120"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"
"rn:R09037"	"YPR140W"	"Acyl-CoA + Monolysocardiolipin <=> CoA + Cardiolipin"	"NONE"	"K13511"	"path:map00564"	"sce00564  Glycerophospholipid metabolism"
"rn:R02111"	"YPR160W;YPR184W"	" Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate"	"1,4-alpha-D-Glucan:orthophosphate alpha-D-glucosyltransferase"	"K00688"	"path:map00500;path:map01100;path:map01110;path:map02026;path:map04217;path:map04910;path:map04922;path:map04931"	"sce00500  Starch and sucrose metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce02026  Biofilm formation - Escherichia coli;sce04217  Necroptosis;sce04910  Insulin signaling pathway;sce04922  Glucagon signaling pathway;sce04931  Insulin resistance"
