mRNA	KO
augustus_masked-NODE_12_length_205931_cov_14.7015_ID_23-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_12_length_205931_cov_14.7015_ID_23-processed-gene-0.78&CDS=1-1140	K00121_R06983_yHAB148_kazachstania_intestinalis
augustus_masked-NODE_25_length_132468_cov_15.7539_ID_49-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_25_length_132468_cov_15.7539_ID_49-processed-gene-0.25&CDS=1-903	K01070_R00527_yHAB148_kazachstania_intestinalis
augustus_masked-NODE_78_length_34044_cov_15.964_ID_155-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_78_length_34044_cov_15.964_ID_155-processed-gene-0.14&CDS=1-1752	YALI0F01606g_R11461_yHAB148_kazachstania_intestinalis
genemark-NODE_43_length_40046_cov_20.5629_ID_85-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_43_length_40046_cov_20.5629_ID_85-processed-gene-0.42&CDS=1-1092	lad_MNXR117337_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.95-mRNA-1_1&gene=genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.95&CDS=1-1536	K00849_R01092_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.94-mRNA-1_1&gene=genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.94&CDS=1-1116	K00965_R00955_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.71-mRNA-1_1&gene=genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.71&CDS=1-2139	K01784_R00291_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-1.103-mRNA-1_1&gene=genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-1.103&CDS=1-1986	K17066_R00608_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_18_length_333966_cov_12.1282_ID_35-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_18_length_333966_cov_12.1282_ID_35-processed-gene-0.60&CDS=1-1542	K03781_R00009_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-4.49-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-4.49&CDS=1-2115	dha1_R01440_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_20_length_328297_cov_11.5211_ID_39-processed-gene-2.16-mRNA-1_1&gene=genemark-NODE_20_length_328297_cov_11.5211_ID_39-processed-gene-2.16&CDS=1-1140	K00121_R06983_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_8_length_530029_cov_13.7433_ID_15-processed-gene-4.54-mRNA-1_1&gene=genemark-NODE_8_length_530029_cov_13.7433_ID_15-processed-gene-4.54&CDS=1-894	K01070_R00527_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_18_length_333966_cov_12.1282_ID_35-processed-gene-2.110-mRNA-1_1&gene=genemark-NODE_18_length_333966_cov_12.1282_ID_35-processed-gene-2.110&CDS=1-1092	K00122_R00519_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-3.76-mRNA-1_1&gene=genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-3.76&CDS=1-1272	K12661_R03774_yHMPu5000034932_kuraishia_ogatae
maker-NODE_1_length_1514969_cov_12.2952_ID_1-snap-gene-9.139-mRNA-1_1&gene=maker-NODE_1_length_1514969_cov_12.2952_ID_1-snap-gene-9.139&CDS=1-1698	YALI0F01650p_MNXR121148_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_14_length_375947_cov_14.1806_ID_27-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_14_length_375947_cov_14.1806_ID_27-processed-gene-0.16&CDS=1-1824	YALI0F01606g_R11461_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.131-mRNA-1_1&gene=genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.131&CDS=1-1554	K02575_MNXR101912_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.157-mRNA-1_1&gene=genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.157&CDS=1-2607	K10534_R00794_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.132-mRNA-1_1&gene=genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.132&CDS=1-3312	K17877_R00787_yHMPu5000034932_kuraishia_ogatae
genemark-NODE_17_length_175091_cov_70.6054_ID_33-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_17_length_175091_cov_70.6054_ID_33-processed-gene-0.65&CDS=1-1089	lad_MNXR117337_yHMPu5000034893_ogataea_philodendra
genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-2.187-mRNA-1_1&gene=genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-2.187&CDS=1-1989	K17066_R00608_yHMPu5000034893_ogataea_philodendra
augustus_masked-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-1.181&CDS=1-1521	K03781_R00009_yHMPu5000034893_ogataea_philodendra
genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-1.43&CDS=1-2130	dha1_R01440_yHMPu5000034893_ogataea_philodendra
genemark-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-2.104-mRNA-1_1&gene=genemark-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-2.104&CDS=1-1140	K00121_R06983_yHMPu5000034893_ogataea_philodendra
maker-NODE_1_length_1278667_cov_66.6163_ID_1-augustus-gene-6.154-mRNA-1_1&gene=maker-NODE_1_length_1278667_cov_66.6163_ID_1-augustus-gene-6.154&CDS=1-2409	K01070_R00527_yHMPu5000034893_ogataea_philodendra
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.117-mRNA-1_1&gene=genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.117&CDS=1-1086	K00122_R00519_yHMPu5000034893_ogataea_philodendra
genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-5.70-mRNA-1_1&gene=genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-5.70&CDS=1-840	YALI0F01650p_MNXR121148_yHMPu5000034893_ogataea_philodendra
genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-3.151-mRNA-1_1&gene=genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-3.151&CDS=1-1830	YALI0F01606g_R11461_yHMPu5000034893_ogataea_philodendra
genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.54&CDS=1-492	K21911_R11333_yHMPu5000034893_ogataea_philodendra
genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.240-mRNA-1_1&gene=genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.240&CDS=1-1533	K02575_MNXR101912_yHMPu5000034893_ogataea_philodendra
maker-NODE_2_length_789798_cov_75.9216_ID_3-augustus-gene-6.357-mRNA-1_1&gene=maker-NODE_2_length_789798_cov_75.9216_ID_3-augustus-gene-6.357&CDS=1-6063	K17877_R00787_yHMPu5000034893_ogataea_philodendra
genemark-flattened_line_32-processed-gene-1.54-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.54&CDS=1-1089	lad_MNXR117337_yHMPu5000035044_barnettozyma_californica
maker-flattened_line_10-augustus-gene-4.201-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-4.201&CDS=1-5175	K03781_R00009_yHMPu5000035044_barnettozyma_californica
genemark-flattened_line_38-processed-gene-0.180-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.180&CDS=1-1143	K00121_R06983_yHMPu5000035044_barnettozyma_californica
maker-flattened_line_8-augustus-gene-4.1-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-4.1&CDS=1-1062	K01070_R00527_yHMPu5000035044_barnettozyma_californica
genemark-flattened_line_70-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.31&CDS=1-1089	K00122_R00519_yHMPu5000035044_barnettozyma_californica
snap_masked-flattened_line_22-processed-gene-2.225-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.225&CDS=1-1011	K18338_R03772_yHMPu5000035044_barnettozyma_californica
genemark-flattened_line_22-processed-gene-2.108-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.108&CDS=1-1263	K12661_R03774_yHMPu5000035044_barnettozyma_californica
genemark-flattened_line_2-processed-gene-3.70-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.70&CDS=1-825	YALI0F01650p_MNXR121148_yHMPu5000035044_barnettozyma_californica
genemark-flattened_line_34-processed-gene-1.138-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.138&CDS=1-1740	YALI0F01606g_R11461_yHMPu5000035044_barnettozyma_californica
genemark-flattened_line_36-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.25&CDS=1-1629	K02575_MNXR101912_yHMPu5000035044_barnettozyma_californica
genemark-flattened_line_6-processed-gene-2.103-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.103&CDS=1-2652	K10534_R00794_yHMPu5000035044_barnettozyma_californica
genemark-flattened_line_36-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.2&CDS=1-3276	K17877_R00787_yHMPu5000035044_barnettozyma_californica
augustus_masked-flattened_line_118-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.39&CDS=1-1098	lad_MNXR117337_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_66-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.148&CDS=1-1524	K00849_R01092_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_100-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.2&CDS=1-1104	K00965_R00955_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_66-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.178&CDS=1-1998	K01784_R00291_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_38-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.69&CDS=1-1458	K03781_R00009_yHMPu5000034643_candida_schatavii
genemark-flattened_line_8-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.97&CDS=1-2184	K00121_R06983_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_44-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.98&CDS=1-870	K01070_R00527_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_102-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.5&CDS=1-1146	K00122_R00519_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_80-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.49&CDS=1-1146	K00122_R00519_yHMPu5000034643_candida_schatavii
maker-flattened_line_17-snap-gene-1.45-mRNA-1_1&gene=maker-flattened_line_17-snap-gene-1.45&CDS=1-3573	YALI0F01650p_MNXR121148_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_23-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.78&CDS=1-1815	YALI0F01606g_R11461_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_23-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.79&CDS=1-471	K21911_R11333_yHMPu5000034643_candida_schatavii
augustus_masked-flattened_line_30-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.19&CDS=1-1095	lad_MNXR117337_yHMPu5000035047_barnettozyma_pratensis
genemark-flattened_line_4-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.61&CDS=1-1614	K00849_R01092_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_4-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.124&CDS=1-1098	K00965_R00955_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_4-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.125&CDS=1-2040	K01784_R00291_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_72-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.169&CDS=1-1563	K03781_R00009_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_56-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.14&CDS=1-1149	K00121_R06983_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_8-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.79&CDS=1-1026	K01070_R00527_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_42-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.51&CDS=1-1089	K00122_R00519_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_54-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.56&CDS=1-1011	K18338_R03772_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_54-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.57&CDS=1-1251	K12661_R03774_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_24-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.83&CDS=1-825	YALI0F01650p_MNXR121148_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_24-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.15&CDS=1-1734	YALI0F01606g_R11461_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_96-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.10&CDS=1-1653	K02575_MNXR101912_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_96-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.11&CDS=1-2625	K10534_R00794_yHMPu5000035047_barnettozyma_pratensis
augustus_masked-flattened_line_96-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.32&CDS=1-3276	K17877_R00787_yHMPu5000035047_barnettozyma_pratensis
snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-1.125&CDS=1-1083	lad_MNXR117337_yHMPu5000034615_saturnispora_zaruensis
snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-5.29-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-5.29&CDS=1-1500	K03781_R00009_yHMPu5000034615_saturnispora_zaruensis
snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.159-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.159&CDS=1-1149	K00121_R06983_yHMPu5000034615_saturnispora_zaruensis
snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.95&CDS=1-852	K01070_R00527_yHMPu5000034615_saturnispora_zaruensis
snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-1.40&CDS=1-768	YALI0F01650p_MNXR121148_yHMPu5000034615_saturnispora_zaruensis
snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-8.117-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-8.117&CDS=1-2622	YALI0F01606g_R11461_yHMPu5000034615_saturnispora_zaruensis
snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.77&CDS=1-1056	lad_MNXR117337_yHMPu5000041824_debaryomyces_subglobosus
genemark-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.26-mRNA-1_1&gene=genemark-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.26&CDS=1-1560	K00849_R01092_yHMPu5000041824_debaryomyces_subglobosus
snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.149-mRNA-1_1&gene=snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.149&CDS=1-1107	K00965_R00955_yHMPu5000041824_debaryomyces_subglobosus
augustus_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.98&CDS=1-2772	K01784_R00291_yHMPu5000041824_debaryomyces_subglobosus
genemark-NODE_3_length_1038804_cov_12.7237_ID_1581-processed-gene-4.26-mRNA-1_1&gene=genemark-NODE_3_length_1038804_cov_12.7237_ID_1581-processed-gene-4.26&CDS=1-1455	K03781_R00009_yHMPu5000041824_debaryomyces_subglobosus
maker-NODE_1_length_1734690_cov_13.5478_ID_3616-snap-gene-12.141-mRNA-1_1&gene=maker-NODE_1_length_1734690_cov_13.5478_ID_3616-snap-gene-12.141&CDS=1-1140	K00121_R06983_yHMPu5000041824_debaryomyces_subglobosus
snap_masked-NODE_14_length_267384_cov_11.5819_ID_2200-processed-gene-1.162-mRNA-1_1&gene=snap_masked-NODE_14_length_267384_cov_11.5819_ID_2200-processed-gene-1.162&CDS=1-879	K01070_R00527_yHMPu5000041824_debaryomyces_subglobosus
genemark-NODE_11_length_297985_cov_17.1524_ID_2860-processed-gene-1.12-mRNA-1_1&gene=genemark-NODE_11_length_297985_cov_17.1524_ID_2860-processed-gene-1.12&CDS=1-1098	K00122_R00519_yHMPu5000041824_debaryomyces_subglobosus
snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.73&CDS=1-1020	K18338_R03772_yHMPu5000041824_debaryomyces_subglobosus
snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.36&CDS=1-1296	K12661_R03774_yHMPu5000041824_debaryomyces_subglobosus
snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-7.153-mRNA-1_1&gene=snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-7.153&CDS=1-1590	inu_MNXR115392_yHMPu5000041824_debaryomyces_subglobosus
maker-NODE_2_length_1437268_cov_13.7297_ID_2256-snap-gene-1.101-mRNA-1_1&gene=maker-NODE_2_length_1437268_cov_13.7297_ID_2256-snap-gene-1.101&CDS=1-2691	YALI0F01650p_MNXR121148_yHMPu5000041824_debaryomyces_subglobosus
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.66&CDS=1-1785	YALI0F01606g_R11461_yHMPu5000041824_debaryomyces_subglobosus
genemark-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.4&CDS=1-483	K21911_R11333_yHMPu5000041824_debaryomyces_subglobosus
augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.90&CDS=1-1080	lad_MNXR117337_yHMPu5000035040_ambrosiozyma_maleeae
augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-0.8&CDS=1-1521	K03781_R00009_yHMPu5000035040_ambrosiozyma_maleeae
augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.5&CDS=1-1140	K00121_R06983_yHMPu5000035040_ambrosiozyma_maleeae
maker-NODE_2_length_1346259_cov_39.2016_ID_3-augustus-gene-4.88-mRNA-1_1&gene=maker-NODE_2_length_1346259_cov_39.2016_ID_3-augustus-gene-4.88&CDS=1-2448	K01070_R00527_yHMPu5000035040_ambrosiozyma_maleeae
augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-3.156&CDS=1-1095	K00122_R00519_yHMPu5000035040_ambrosiozyma_maleeae
augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.250-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.250&CDS=1-864	YALI0F01650p_MNXR121148_yHMPu5000035040_ambrosiozyma_maleeae
augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.207-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.207&CDS=1-1806	YALI0F01606g_R11461_yHMPu5000035040_ambrosiozyma_maleeae
augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.252-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.252&CDS=1-495	K21911_R11333_yHMPu5000035040_ambrosiozyma_maleeae
augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.231-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.231&CDS=1-1590	K02575_MNXR101912_yHMPu5000035040_ambrosiozyma_maleeae
snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.55&CDS=1-2634	K10534_R00794_yHMPu5000035040_ambrosiozyma_maleeae
snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.54-mRNA-1_1&gene=snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.54&CDS=1-3201	K17877_R00787_yHMPu5000035040_ambrosiozyma_maleeae
maker-NADE0S03-augustus-gene-1.59-mRNA-1_1&gene=maker-NADE0S03-augustus-gene-1.59&CDS=1-2478	K03781_R00009_nakaseomyces_delphensis
snap_masked-NADE0S12-processed-gene-8.94-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-8.94&CDS=1-1140	K00121_R06983_nakaseomyces_delphensis
snap_masked-NADE0S27-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-0.93&CDS=1-885	K01070_R00527_nakaseomyces_delphensis
snap_masked-NADE0S06-processed-gene-8.196-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-8.196&CDS=1-1752	YALI0F01606g_R11461_nakaseomyces_delphensis
genemark-flattened_line_76-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.68&CDS=1-1089	lad_MNXR117337_yHMPu5000035691_candida_salmanticensis
genemark-flattened_line_36-processed-gene-1.19-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.19&CDS=1-1539	K00849_R01092_yHMPu5000035691_candida_salmanticensis
snap_masked-flattened_line_2-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.135&CDS=1-1080	K00965_R00955_yHMPu5000035691_candida_salmanticensis
genemark-flattened_line_4-processed-gene-6.14-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.14&CDS=1-1080	K01784_R00291_yHMPu5000035691_candida_salmanticensis
maker-flattened_line_12-snap-gene-5.54-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-5.54&CDS=1-1992	K03781_R00009_yHMPu5000035691_candida_salmanticensis
augustus_masked-flattened_line_22-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.61&CDS=1-1059	K00121_R06983_yHMPu5000035691_candida_salmanticensis
snap_masked-flattened_line_22-processed-gene-1.32-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.32&CDS=1-276	K00121_R06983_yHMPu5000035691_candida_salmanticensis
genemark-flattened_line_66-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.98&CDS=1-885	K01070_R00527_yHMPu5000035691_candida_salmanticensis
genemark-flattened_line_26-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.92&CDS=1-1077	K00122_R00519_yHMPu5000035691_candida_salmanticensis
maker-flattened_line_8-snap-gene-5.257-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-5.257&CDS=1-4572	inu_MNXR115392_yHMPu5000035691_candida_salmanticensis
genemark-flattened_line_30-processed-gene-1.268-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.268&CDS=1-996	YALI0F01650p_MNXR121148_yHMPu5000035691_candida_salmanticensis
genemark-flattened_line_18-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.91&CDS=1-1737	YALI0F01606g_R11461_yHMPu5000035691_candida_salmanticensis
genemark-BBIL01000004.1-processed-gene-7.57-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.57&CDS=1-1518	K00849_R01092_kluyveromyces_marxianus
genemark-BBIL01000004.1-processed-gene-7.56-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.56&CDS=1-1116	K00965_R00955_kluyveromyces_marxianus
genemark-BBIL01000004.1-processed-gene-7.73-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.73&CDS=1-2073	K01784_R00291_kluyveromyces_marxianus
maker-BBIL01000023.1-augustus-gene-3.0-mRNA-1_1&gene=maker-BBIL01000023.1-augustus-gene-3.0&CDS=1-3519	K03781_R00009_kluyveromyces_marxianus
genemark-BBIL01000010.1-processed-gene-6.120-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-6.120&CDS=1-1152	K00121_R06983_kluyveromyces_marxianus
maker-BBIL01000010.1-augustus-gene-1.0-mRNA-1_1&gene=maker-BBIL01000010.1-augustus-gene-1.0&CDS=1-2130	K01070_R00527_kluyveromyces_marxianus
